city_id,city_name,county,state,postal_code,,,,,,,,,,,
316,Bellevue,King,WA,98007,,,,,,,,,,,
317,Bonney Lake,Pierce,WA,98391,,,,,,,,,,,
318,Everett,Snohomish,WA,98203,,,,,,,,,,,
319,Graham,Pierce,WA,98338,,,,,,,,,,,
320,Des Moines,King,WA,98198,,,,,,,,,,,
321,South Hill,Pierce,WA,98375,,,,,,,,,,,
322,Mount Vernon,Skagit,WA,98273,,,,,,,,,,,
323,Seattle,King,WA,98106,,,,,,,,,,,
324,Camano Island,Island,WA,98282,,,,,,,,,,,
325,Camas,Clark,WA,98607,,,,,,,,,,,
326,Vashon,King,WA,98070,,,,,,,,,,,
327,Tacoma,Pierce,WA,98405,,,,,,,,,,,
328,Vancouver,Clark,WA,98683,,,,,,,,,,,
329,Bainbridge Island,Kitsap,WA,98110,,,,,,,,,,,
330,Battle Ground,Clark,WA,98604,,,,,,,,,,,
331,Battle Ground,Clark,WA,98604,,,,,,,,,,,
332,Vancouver,Clark,WA,98662,,,,,,,,,,,
333,Vancouver,Clark,WA,98662,,,,,,,,,,,
334,Ferndale,Whatcom,WA,98248,,,,,,,,,,,
335,Vancouver,Clark,WA,98686,,,,,,,,,,,
336,Bremerton,Kitsap,WA,98311,,,,,,,,,,,
337,Silverdale,Kitsap,WA,98383,,,,,,,,,,,
338,Ridgefield,Clark,WA,98642,,,,,,,,,,,
339,Lacey,Thurston,WA,98503,,,,,,,,,,,
340,Spokane,Spokane,WA,99207,,,,,,,,,,,
341,Kennewick,Benton,WA,99336,,,,,,,,,,,
342,Chelan,Chelan,WA,98816,,,,,,,,,,,
343,Sammamish,King,WA,98029,,,,,,,,,,,
344,Buckley,Pierce,WA,98321,,,,,,,,,,,
345,Redmond,King,WA,98052,,,,,,,,,,,
346,Marysville,Snohomish,WA,98270,,,,,,,,,,,
347,Kent,King,WA,98031,,,,,,,,,,,
348,Newcastle,King,WA,98056,,,,,,,,,,,
349,Everett,Snohomish,WA,98208,,,,,,,,,,,
350,Everett,Snohomish,WA,98208,,,,,,,,,,,
351,Bellevue,King,WA,98004,,,,,,,,,,,
352,Bothell,Snohomish,WA,98012,,,,,,,,,,,
353,Kirkland,King,WA,98034,,,,,,,,,,,
354,Sumner,Pierce,WA,98390,,,,,,,,,,,
355,Eatonville,Pierce,WA,98328,,,,,,,,,,,
356,Puyallup,Pierce,WA,98374,,,,,,,,,,,
357,Mountlake Terrace,Snohomish,WA,98043,,,,,,,,,,,
358,Shoreline,King,WA,98155,,,,,,,,,,,
359,Seattle,King,WA,98101,,,,,,,,,,,
360,Seattle,King,WA,98136,,,,,,,,,,,
361,Yacolt,Clark,WA,98675,,,,,,,,,,,
362,Vancouver,Clark,WA,98683,,,,,,,,,,,
363,Yelm,Thurston,WA,98597,,,,,,,,,,,
364,Vancouver,Clark,WA,98661,,,,,,,,,,,
365,Bremerton,Kitsap,WA,98311,,,,,,,,,,,
366,Silverdale,Kitsap,WA,98315,,,,,,,,,,,
367,Ridgefield,Clark,WA,98642,,,,,,,,,,,
368,Olympia,Thurston,WA,98503,,,,,,,,,,,
369,Lacey,Thurston,WA,98503,,,,,,,,,,,
370,Tenino,Thurston,WA,98589,,,,,,,,,,,
371,Longview,Cowlitz,WA,98632,,,,,,,,,,,
372,Clarkston,Asotin,WA,99403,,,,,,,,,,,
373,Spokane,Spokane,WA,99223,,,,,,,,,,,
374,Spokane,Spokane,WA,99218,,,,,,,,,,,
375,Cheney,Spokane,WA,99004,,,,,,,,,,,
376,Pasco,Franklin,WA,99301,,,,,,,,,,,
377,Pasco,Franklin,WA,99301,,,,,,,,,,,
378,Twisp,Okanogan,WA,98856,,,,,,,,,,,
379,Granger,Yakima,WA,98932,,,,,,,,,,,
380,Zillah,Yakima,WA,98953,,,,,,,,,,,
381,Cle Elum,Kittitas,WA,98922,,,,,,,,,,,
382,North Bend,King,WA,98045,,,,,,,,,,,
383,Sammamish,King,WA,98074,,,,,,,,,,,
384,Redmond,King,WA,98053,,,,,,,,,,,
385,Issaquah,King,WA,98027,,,,,,,,,,,
386,Renton,King,WA,98058,,,,,,,,,,,
387,Snohomish,Snohomish,WA,98290,,,,,,,,,,,
388,Arlington,Snohomish,WA,98223,,,,,,,,,,,
389,Redmond,King,WA,98052,,,,,,,,,,,
390,Snohomish,Snohomish,WA,98296,,,,,,,,,,,
391,Auburn,King,WA,98092,,,,,,,,,,,
392,Renton,King,WA,98056,,,,,,,,,,,
393,Everett,Snohomish,WA,98208,,,,,,,,,,,
394,Bellevue,King,WA,98004,,,,,,,,,,,
395,Kent,King,WA,98030,,,,,,,,,,,
396,Everett,Snohomish,WA,98201,,,,,,,,,,,
397,Renton,King,WA,98055,,,,,,,,,,,
398,Mercer Island,King,WA,98040,,,,,,,,,,,
399,Mercer Island,King,WA,98040,,,,,,,,,,,
400,Kenmore,King,WA,98028,,,,,,,,,,,
401,Puyallup,Pierce,WA,98372,,,,,,,,,,,
402,Seattle,King,WA,98102,,,,,,,,,,,
403,Seattle,King,WA,98101,,,,,,,,,,,
404,Shoreline,King,WA,98177,,,,,,,,,,,
405,Bellingham,Whatcom,WA,98229,,,,,,,,,,,
406,Battle Ground,Clark,WA,98604,,,,,,,,,,,
407,Vancouver,Clark,WA,98682,,,,,,,,,,,
408,Ferndale,Whatcom,WA,98248,,,,,,,,,,,
409,Vancouver,Clark,WA,98686,,,,,,,,,,,
410,Dupont,Pierce,WA,98327,,,,,,,,,,,
411,Port Angeles,Clallam,WA,98362,,,,,,,,,,,
412,Port Angeles,Clallam,WA,98363,,,,,,,,,,,
413,Port Angeles,Clallam,WA,98363,,,,,,,,,,,
414,Montesano,Grays Harbor,WA,98563,,,,,,,,,,,
415,Surfside,Pacific,WA,98640,,,,,,,,,,,
416,Spokane,Spokane,WA,99203,,,,,,,,,,,
417,Spokane,Spokane,WA,99208,,,,,,,,,,,
418,Pasco,Franklin,WA,99301,,,,,,,,,,,
419,Redmond,King,WA,98053,,,,,,,,,,,
420,Maple Valley,King,WA,98038,,,,,,,,,,,
421,Renton,King,WA,98058,,,,,,,,,,,
422,Snohomish,Snohomish,WA,98290,,,,,,,,,,,
423,Bellevue,King,WA,98006,,,,,,,,,,,
424,Redmond,King,WA,98052,,,,,,,,,,,
425,Marysville,Snohomish,WA,98270,,,,,,,,,,,
426,Bothell,Snohomish,WA,98021,,,,,,,,,,,
427,Bellevue,King,WA,98004,,,,,,,,,,,
428,Kent,King,WA,98030,,,,,,,,,,,
429,Everett,Snohomish,WA,98201,,,,,,,,,,,
430,Bothell,Snohomish,WA,98012,,,,,,,,,,,
431,Auburn,King,WA,98002,,,,,,,,,,,
432,Kirkland,King,WA,98034,,,,,,,,,,,
433,Kenmore,King,WA,98028,,,,,,,,,,,
434,Seattle,King,WA,98117,,,,,,,,,,,
435,Camas,Clark,WA,98607,,,,,,,,,,,
436,Seattle,King,WA,98116,,,,,,,,,,,
437,Brush Prairie,Clark,WA,98606,,,,,,,,,,,
438,Vancouver,Clark,WA,98686,,,,,,,,,,,
439,Vancouver,Clark,WA,98685,,,,,,,,,,,
440,Olympia,Thurston,WA,98502,,,,,,,,,,,
441,Liberty Lake,Spokane,WA,99019,,,,,,,,,,,
442,Spokane,Spokane,WA,99208,,,,,,,,,,,
443,Spokane,Spokane,WA,99208,,,,,,,,,,,
444,Kennewick,Benton,WA,99338,,,,,,,,,,,
445,Ephrata,Grant,WA,98823,,,,,,,,,,,
446,Quincy,Grant,WA,98848,,,,,,,,,,,
447,Grandview,Yakima,WA,98930,,,,,,,,,,,
448,Sammamish,King,WA,98074,,,,,,,,,,,
449,Covington,King,WA,98042,,,,,,,,,,,
450,Bellevue,King,WA,98006,,,,,,,,,,,
